ap_mac,lat,lon,Количество_торговля_rank,Количество_бытовые_rank,Количество_общепит_rank,Количество_клубы_rank,Количество_медицина_rank,Выручка_торговля_rank,Прибыль_торговля_rank,Выручка_бытовые_rank,Прибыль_бытовые_rank,Выручка_общепит_rank,Прибыль_общепит_rank,Выручка_клубы_rank,Прибыль_клубы_rank,Выручка_медицина_rank,Прибыль_медицина_rank,barbers_rank,spa_rank,shoes_rank,jewelry_rank,foto_rank,riteil_rank,club_rank,med_rank,vet_rank,stomat_rank,alco_rank,shop_rank,crime_rank,danger_rank,houseprise_rank,houseparenda_rank,money_rank,people_rank,traffic_rank,toilet_rank,trash_rank,metro_rank,taxi_rank,auto_rank,light_rank,video_rank,keep_rank,arenda_rank,ЖКХ_ранг,Соседи_ранг,Условия для детей_ранг,Спорт и отдых_ранг,Магазины_ранг,Транспорт_ранг,Безопасность_ранг,Стоимость жизни_ранг,Чистота_ранг,Экология_ранг,Адрес
EC8CA21017D0,55.7432975769043,37.54256439208984,673.5,900.0,1054.5,1097.5,1320.5,1084.5,356.5,2052.5,320.5,205.5,196.5,2650.5,1770.5,202.5,2212.5,1706.5,2341.5,888.0,762.5,1538.0,1722.5,1504.5,2050.0,285.5,1087.0,1992.5,2120.5,562.5,1441.5,1395.5,1059.5,1754.5,1760.5,1096.0,2289.0,2176.5,629.0,1700.0,1550.5,2222.5,2241.0,2388.0,1414.0,57.0,29.0,110.0,110.0,114.0,69.0,15.0,105.0,65.0,112.0,"Кутузовский проспект, 26 к1, Москва, Россия"
EC8CA21017E0,55.72288131713867,37.56622314453125,2581.0,2524.0,2524.0,2524.0,2331.0,2215.0,859.0,2329.0,566.0,759.0,1226.0,1606.0,249.0,503.0,203.0,1470.0,988.5,888.0,1940.5,2373.5,1108.5,670.0,2050.0,1971.0,1414.5,1006.0,2400.0,1335.0,412.5,2208.0,1321.0,324.0,941.0,1727.0,1312.0,1949.0,1649.5,2388.0,1004.0,296.0,562.5,986.5,2656.0,79.0,18.0,52.0,20.0,111.0,85.0,6.0,42.0,26.0,83.0,"улица Доватора, 12, Москва, Россия"
EC8CA21017F0,55.74863052368164,37.59131240844727,1213.0,1534.0,1958.0,1534.0,1506.0,967.0,2528.0,622.0,192.0,2475.0,566.0,1000.0,1024.0,1512.0,854.0,2646.5,2341.5,888.0,1940.5,2036.0,2760.0,2593.5,2050.0,1971.0,1783.5,2722.0,1764.0,2130.0,,2707.0,2416.0,1502.0,2526.0,2383.0,2289.0,302.5,1649.5,348.5,2.0,1076.0,135.5,986.5,2131.5,,,,,,,,,,,"Кривоарбатский переулок, 3, Москва, Россия"
EC8CA21018B0,55.74506378173828,37.63258743286133,1920.0,1977.0,2170.0,1746.0,1874.0,446.0,1889.0,890.0,1171.0,2044.0,808.0,188.0,1288.0,1945.0,1066.0,1102.0,988.5,2186.5,1940.5,2718.5,2272.5,2717.0,2050.0,2645.5,2169.0,2282.0,1308.5,2342.0,1441.5,1607.0,1837.0,664.0,2149.0,2038.0,1312.0,1223.5,265.0,185.5,698.5,1730.0,948.5,1773.5,1414.0,50.0,90.0,102.0,42.0,108.0,73.0,22.0,50.0,40.0,97.0,"Большой Овчинниковский переулок, 18/1 с2, Москва, Россия"
EC8CA212D080,55.72548294067383,37.659446716308594,2287.5,1724.5,1599.5,2023.5,1874.0,2565.5,1421.5,342.5,902.5,1102.5,1858.5,485.5,549.5,1309.5,532.5,1354.0,2769.5,888.0,1940.5,1538.0,1529.5,2319.5,1023.0,798.5,2169.0,1380.0,1249.5,1669.5,2303.5,889.5,2166.5,1336.5,1336.5,2682.0,603.0,1646.0,849.5,2388.0,1443.0,2111.5,1963.0,1773.5,700.0,93.0,91.0,111.0,91.0,80.0,61.0,84.0,65.0,92.0,105.0,"Крутицкая набережная, 7, Москва, Россия"
EC8CA212D120,55.72800827026367,37.65378952026367,2287.5,1724.5,1599.5,2023.5,1874.0,2565.5,1421.5,342.5,902.5,1102.5,1858.5,485.5,549.5,1309.5,532.5,1706.5,2341.5,888.0,1940.5,632.5,1302.0,2319.5,1023.0,1971.0,2169.0,1147.5,454.0,1669.5,2303.5,889.5,2166.5,1336.5,1336.5,957.0,2289.0,1831.5,2529.5,1700.0,1259.5,2231.0,2568.5,1773.5,700.0,93.0,91.0,111.0,91.0,80.0,61.0,84.0,65.0,92.0,105.0,"Дербеневская набережная, 1/2, Москва, Россия"
EC8CA212D1F0,55.72245788574219,37.64340591430664,1920.0,1977.0,2170.0,1746.0,1874.0,446.0,1889.0,890.0,1171.0,2044.0,808.0,188.0,1288.0,1945.0,1066.0,869.0,988.5,888.0,762.5,1538.0,990.5,2158.5,1023.0,2645.5,2169.0,1203.0,810.0,2342.0,1441.5,1607.0,1837.0,664.0,2149.0,1753.0,2289.0,2543.5,2083.0,1700.0,1621.5,2746.0,2521.0,2725.5,700.0,50.0,90.0,102.0,42.0,108.0,73.0,22.0,50.0,40.0,97.0,"Москва, Россия"
EC8CA212DD20,55.70649719238281,37.657352447509766,2287.5,1724.5,1599.5,2023.5,1874.0,2565.5,1421.5,342.5,902.5,1102.5,1858.5,485.5,549.5,1309.5,532.5,1227.5,988.5,2186.5,2508.0,632.5,1216.0,1504.5,1023.0,798.5,754.0,1387.0,2304.0,1669.5,2303.5,889.5,2166.5,1336.5,1336.5,793.0,603.0,1692.0,1169.0,2388.0,1660.5,2190.0,721.0,1773.5,700.0,93.0,91.0,111.0,91.0,80.0,61.0,84.0,65.0,92.0,105.0,"Автозаводская улица, 11, Москва, Россия"
EC8CA212DD30,55.72042846679688,37.61848449707031,1920.0,1977.0,2170.0,1746.0,1874.0,446.0,1889.0,890.0,1171.0,2044.0,808.0,188.0,1288.0,1945.0,1066.0,2764.5,2341.5,2186.5,1940.5,2036.0,1826.0,670.0,1023.0,2645.5,754.0,1973.5,2471.0,2342.0,1441.5,1607.0,1837.0,664.0,2149.0,1101.0,2289.0,1039.5,1169.0,2388.0,1044.0,1328.5,1371.5,165.5,700.0,50.0,90.0,102.0,42.0,108.0,73.0,22.0,50.0,40.0,97.0,"улица Павла Андреева, 28 к7, Москва, Россия"
EC8CA212DF00,55.70919418334961,37.66083908081055,2287.5,1724.5,1599.5,2023.5,1874.0,2565.5,1421.5,342.5,902.5,1102.5,1858.5,485.5,549.5,1309.5,532.5,1587.0,988.5,2186.5,2508.0,632.5,1398.5,1504.5,1023.0,798.5,754.0,1831.0,2816.0,1669.5,2303.5,889.5,2166.5,1336.5,1336.5,1677.0,205.0,1068.0,1169.0,2388.0,1573.5,1423.0,408.0,1773.5,700.0,93.0,91.0,111.0,91.0,80.0,61.0,84.0,65.0,92.0,105.0,"Автозаводская улица, 6, Москва, Россия"
EC8CA212E050,55.71560287475586,37.66063690185547,2287.5,1724.5,1599.5,2023.5,1874.0,2565.5,1421.5,342.5,902.5,1102.5,1858.5,485.5,549.5,1309.5,532.5,1227.5,988.5,888.0,762.5,632.5,1381.0,1867.0,1023.0,1237.0,1087.0,1687.0,2773.5,1669.5,2303.5,889.5,2166.5,1336.5,1336.5,1758.0,603.0,1487.5,1169.0,2388.0,1621.5,2063.5,806.0,2388.0,700.0,93.0,91.0,111.0,91.0,80.0,61.0,84.0,65.0,92.0,105.0,"Пересветов переулок, 2/3, Москва, Россия"
EC8CA212E0E0,55.74763107299805,37.65999221801758,1674.0,2237.0,1799.0,2237.0,2618.0,1601.0,176.0,134.0,1821.0,1614.0,348.0,2043.0,1567.0,2234.0,1312.0,2160.0,2341.5,888.0,2508.0,632.5,2507.5,2158.5,2050.0,1237.0,2621.0,2140.0,1727.0,1869.0,1441.5,1853.0,588.0,935.0,500.0,1410.0,205.0,696.5,849.5,1318.0,500.0,1661.0,1652.0,986.5,1414.0,29.0,56.0,31.0,18.0,79.0,27.0,27.0,12.0,29.0,100.0,"Николоямская улица, 39/43 к1, Москва, Россия"
EC8CA212E170,55.717567443847656,37.6470832824707,2287.5,1724.5,1599.5,2023.5,1874.0,2565.5,1421.5,342.5,902.5,1102.5,1858.5,485.5,549.5,1309.5,532.5,157.0,988.5,888.0,762.5,632.5,300.0,2158.5,1023.0,2645.5,1783.5,297.0,416.0,1669.5,2303.5,889.5,2166.5,1336.5,1336.5,1278.5,2289.0,2582.5,2529.5,2388.0,1759.0,2790.0,2706.5,2725.5,700.0,93.0,91.0,111.0,91.0,80.0,61.0,84.0,65.0,92.0,105.0,"Москва, Россия"
EC8CA212E1F0,55.70678329467773,37.65787887573242,2287.5,1724.5,1599.5,2023.5,1874.0,2565.5,1421.5,342.5,902.5,1102.5,1858.5,485.5,549.5,1309.5,532.5,1227.5,988.5,2186.5,2508.0,632.5,1216.0,1504.5,1023.0,798.5,754.0,1392.5,2328.0,1669.5,2303.5,889.5,2166.5,1336.5,1336.5,1082.0,603.0,1614.5,1169.0,2388.0,1653.0,2093.5,662.5,1773.5,700.0,93.0,91.0,111.0,91.0,80.0,61.0,84.0,65.0,92.0,105.0,"Автозаводская улица, 11, Москва, Россия"
EC8CA212EEE0,55.74864959716797,37.55967330932617,673.5,900.0,1054.5,1097.5,1320.5,1084.5,356.5,2052.5,320.5,205.5,196.5,2650.5,1770.5,202.5,2212.5,985.0,2341.5,2186.5,762.5,632.5,2373.0,201.0,2050.0,285.5,754.0,2493.0,1020.5,562.5,1441.5,1395.5,1059.5,1754.5,1760.5,836.0,1312.0,2425.0,429.5,1060.0,1497.0,2322.0,1963.0,1773.5,700.0,57.0,29.0,110.0,110.0,114.0,69.0,15.0,105.0,65.0,112.0,"Кутузовский проспект, Москва, Россия"
EC8CA212EF10,55.74007797241211,37.58062362670898,2581.0,2524.0,2524.0,2524.0,2331.0,2215.0,859.0,2329.0,566.0,759.0,1226.0,1606.0,249.0,503.0,203.0,2442.5,988.5,2686.0,2508.0,2036.0,1967.0,2319.5,2685.5,1971.0,754.0,2084.5,1420.0,1335.0,412.5,2208.0,1321.0,324.0,941.0,2422.0,603.0,469.5,1649.5,890.5,376.5,637.5,191.5,986.5,2131.5,79.0,18.0,52.0,20.0,111.0,85.0,6.0,42.0,26.0,83.0,"Новоконюшенный переулок, 14, Москва, Россия"
EC8CA212EF40,55.71043395996094,37.61779022216797,2287.5,1724.5,1599.5,2023.5,1874.0,2565.5,1421.5,342.5,902.5,1102.5,1858.5,485.5,549.5,1309.5,532.5,2508.5,2341.5,2186.5,1940.5,1538.0,1451.5,201.0,1023.0,2818.0,754.0,1429.0,2471.0,1669.5,2303.5,889.5,2166.5,1336.5,1336.5,2659.0,2289.0,1255.0,1649.5,2388.0,1044.0,1540.5,2031.0,165.5,700.0,93.0,91.0,111.0,91.0,80.0,61.0,84.0,65.0,92.0,105.0,"Малая Тульская улица, 2/1 к2, Москва, Россия"
