Субъект,Количество_торговля,Выручка_торговля,Прибыль_торговля,Количество_бытовые,Выручка_бытовые,Прибыль_бытовые,Количество_общепит,Выручка_общепит,Прибыль_общепит,Количество_клубы,Выручка_клубы,Прибыль_клубы,Количество_медицина,Выручка_медицина,Прибыль_медицина,Население,На 100 тыс. жителей Всего преступлений,"Доходы от НДФл, млн.р."
Митино,1449,"57,71","2,05",171,"2,38","0,21",96.0,"16,33","1,27",80,"2,89","0,06",123.0,"19,72","3,44",195476.0,771.0,
Можайский,2614,"192,21","5,68",191,"4,5","0,28",172.0,"20,3","0,8",138,"50,93","10,73",104.0,"85,79","28,12",,,
Молжаниновский,79,"660,75","20,31",9,"0,02","0,56",4.0,"16,5","0,33",5,"0,42","0,29",1.0,,,,,
Москворечье-Сабурово,1355,"77,33","2,21",107,"13,83","0,94",85.0,"17,97","0,41",41,"4,94","0,24",48.0,"20,18","2,32",80934.0,832.0,"4978,9"
Нагатино-Садовники,2688,"209,38","7,23",150,"2,74","0,37",152.0,"34,04","1,26",87,"5,13","0,27",92.0,"17,59","3,7",83607.0,1298.0,11012
Нагорный,1884,"100,48","3,31",147,"7,94","0,4",93.0,"10,48","0,71",62,"31,02","1,5",82.0,"30,26","3,88",,,
Некрасовка,627,"40,52","0,97",54,"0,9","0,1",29.0,"7,46","0,46",16,"0,78","0,04",42.0,"3,83","0,7",83525.0,600.0,
Нижегородский,2492,"500,33","38,71",105,"8,48","0,92",122.0,"30,37","0,77",72,"9,6","1,03",46.0,"9,76","2,56",45738.0,2210.0,"10673,5"
Ново-Переделкино,624,"105,12","1,27",54,"1,83","0,41",44.0,"18,64","0,91",26,"8,43","0,34",44.0,"18,25","1,72",121718.0,817.0,
Новогиреево,1155,"67,09","2,81",89,"3,02","0,45",59.0,"5,76","0,18",35,"4,17","0,62",39.0,"23,37","5,48",98634.0,1447.0,
Новокосино,635,"28,49","0,93",63,"2,74","0,21",54.0,"16,25","1,53",32,"1,67","0,21",45.0,"5,47","0,72",108204.0,1085.0,
Обручевский,1232,"141,16","5,58",129,"5,01","0,53",110.0,"23,55","0,78",85,"4,46","0,15",98.0,"28,44","1,31",,,
Орехово-Борисово Северное,454,"24,85","0,94",62,"1,46","0,78",64.0,"14,13","0,95",38,"3,37","0,37",49.0,"16,73","2,74",132307.0,591.0,
Орехово-Борисово Южное,676,"127,76","5,98",54,"0,94","0,19",39.0,"9,54","0,32",45,"3,42","0,23",47.0,"5,16","0,57",147835.0,777.0,
Останкинский,1790,"137,34","5,64",152,"24,48","11,51",162.0,"10,69","0,53",119,"21,19","0,71",89.0,"11,46","0,49",,,
Отрадное,1774,"83,41","3,8",144,"5,15","0,53",128.0,"87,75","2,38",88,"607,45","268,48",102.0,"14,72","1,25",185745.0,882.0,"7684,5"
Очаково-Матвеевское,2122,"103,78","3,85",123,"3,52","0,2",102.0,"35,99","1,61",66,"5,69","0,28",60.0,"44,56","13,44",130975.0,917.0,"10138,5"
Перово,4018,"153,15","4,69",214,"5,88","0,58",214.0,"16,59","1,18",105,"8,77","0,24",119.0,"21,23","1,79",141269.0,1408.0,"6929,3"
Печатники,1544,"125,96","4,36",97,4,"0,14",80.0,"11,13","0,51",44,"11,56","0,32",39.0,"42,5","3,38",86706.0,914.0,"6785,8"
Покровское-Стрешнево,1667,"84,07","4,1",157,"2,44","1,59",94.0,"26,04","1,75",84,"6,42","0,9",96.0,"45,46","3,89",,,
Преображенское,1624,"360,28","17,29",178,"13,85","0,73",110.0,"21,81","2,83",101,"93,41","8,3",86.0,"31,71","12,22",91574.0,1310.0,"8636,1"
Пресненский,5672,"310,53","14,63",928,"6,47","1,25",892.0,"43,31","2,38",513,"144,2","9,26",408.0,"81,85","8,7",128314.0,2080.0,"81423,4"
Проспект Вернадского,537,"491,48","19,85",95,"4,72","0,33",46.0,"13,68","0,35",38,"1,47","0,02",84.0,"46,12","1,29",64228.0,1016.0,"4735,2"
Раменки,1401,"160,01","5,5",260,"3,64","0,25",175.0,"17,47","0,94",124,"23,82","4,35",191.0,"15,24","2,66",142389.0,1151.0,"12672,9"
Ростокино,1059,"80,83","1,88",97,"3,16","0,95",70.0,"13,09","11,2",52,"6,68","0,42",49.0,"120,21","9,96",40196.0,1129.0,
Рязанский,2392,"157,68","4,52",182,"8,79","0,6",113.0,"54,82","1,24",83,"16,08","0,91",71.0,"9,49","1,91",110073.0,,"4289,4"
Свиблово,1165,"116,89","4,05",73,"1,54","0,13",36.0,"6,64","0,21",39,"1,55","0,32",48.0,"79,1","30,59",62981.0,1075.0,
Северное Бутово,1008,"39,71","1,44",111,"1,06","0,36",70.0,"8,71","0,47",47,"3,06","0,26",68.0,"9,18","1,53",95937.0,996.0,
Северное Измайлово,731,"51,82","2,9",78,"2,77","0,15",60.0,"22,09","1,35",33,"0,99","0,17",31.0,"9,73","2,24",88007.0,1639.0,
Северное Медведково,703,"42,64","2,98",98,"1,88","1,02",40.0,"8,08","0,79",35,"4,26","1,32",38.0,"8,27","1,03",127986.0,,
Северное Тушино,837,"24,75","1,12",98,"1,69","0,4",68.0,"9,68","0,39",40,"1,65","0,04",45.0,"6,52",1,166217.0,674.0,
Северный,264,"110,93","1,72",37,"0,58","0,06",24.0,"51,43","11,86",17,0,0,16.0,"7,62","0,17",,,
Силино,242,"242,01","358,21",37,"0,74","0,08",16.0,"7,17","0,26",16,"0,32",0,18.0,"23,82","1,21",40341.0,1525.0,
Сокол,1729,"184,63","10,37",135,"1,96","0,22",144.0,"14,66","0,92",92,"5,89","0,57",68.0,"5,91","0,78",60171.0,940.0,"6276,3"
Сокольники,2263,"167,69","3,57",213,"2,98","0,23",142.0,"57,2","1,05",154,"33,46","1,45",101.0,"9,47","2,05",61649.0,968.0,"9592,6"
Солнцево,806,"89,89","2,36",71,"1,63","0,16",56.0,"946,93","66,97",45,"13,76","2,16",64.0,"7,02","1,59",126901.0,826.0,
Старое Крюково,246,"53,9","2,49",33,"3,76","0,09",18.0,"3,39","0,36",22,"0,67","0,11",14.0,4,"1,88",31427.0,1525.0,
Строгино,930,"175,27","5,32",97,"21,67","1,31",51.0,"39,84","0,67",62,"7,48","3,1",44.0,"5,75","0,58",161298.0,730.0,"4413,7"
Таганский,3211,"206,89","9,22",607,"9,06","0,56",416.0,"23,91","2,64",309,"16,43","1,56",298.0,"25,13","4,18",123532.0,1860.0,"36621,1"
Тверской,4903,"517,45","9,88",908,"4,56","2,55",1007.0,"49,95","4,87",477,"102,9","4,37",453.0,"63,54","8,01",77947.0,3519.0,"70700,6"
Текстильщики,1113,"158,31","5,87",105,"1,76","0,34",60.0,"13,13","0,88",60,"1260,98","13,25",47.0,"11,54","0,63",105398.0,567.0,"5720,5"
Тимирязевский,996,"140,39","5,6",143,"4,51","0,46",80.0,"15,5","1,87",73,"5,44","0,57",53.0,"259,92","1,08",,,
Фили-Давыдково,806,"186,36","8,64",113,"5,23","1,09",58.0,"15,74","1,17",53,"8,41","0,12",55.0,"20,91","3,26",,,
