ap_mac,lat,lon,Субъект
3420E31780D0,55.72114562988281,37.606163024902344,Якиманка
8CFE74212CD0,55.73716735839844,37.623783111572266,Якиманка
EC8CA20F1D00,55.72055435180664,37.566864013671875,Хамовники
EC8CA213C770,55.7214241027832,37.56748580932617,Хамовники
EC8CA2100810,55.75021743774414,37.64606475830078,Таганский
0CF4D52BBB10,55.71820831298828,37.60845184326172,Донской
0CF4D52C5790,55.73060607910156,37.57711410522461,Хамовники
EC8CA215F8F0,55.722084045410156,37.60065841674805,Якиманка
EC8CA20F35C0,55.73754119873047,37.64487838745117,Замоскворечье
1CB9C429B930,55.74549102783203,37.56913757324219,Дорогомилово
3420E3178280,55.73977279663086,37.56717300415039,Дорогомилово
1CB9C426C0B0,55.749061584472656,37.58802795410156,Арбат
3420E3175590,55.72406005859375,37.61650085449219,Замоскворечье
EC8CA2139920,55.747310638427734,37.63991928100586,Таганский
EC8CA20E76B0,55.74821472167969,37.62526321411133,Якиманка
1CB9C4268800,55.734439849853516,37.61235046386719,Якиманка
1CB9C424AF60,55.752532958984375,37.609981536865234,Арбат
441E981414E0,55.7429313659668,37.6445198059082,Таганский
EC8CA22EA5B0,55.75117111206055,37.57070541381836,Дорогомилово
1CB9C429B7E0,55.74037170410156,37.6268424987793,Замоскворечье
EC8CA22EE760,55.7083740234375,37.658748626708984,Даниловский
0CF4D52C37D0,55.72882080078125,37.62411117553711,Замоскворечье
184B0D1FB1B0,55.722774505615234,37.643890380859375,Даниловский
1CB9C4301E60,55.720542907714844,37.56687927246094,Хамовники
0CF4D52C5710,55.72797393798828,37.60956954956055,Якиманка
0CF4D52BD410,55.73828887939453,37.58601379394531,Хамовники
EC8CA20EFCA0,55.74311828613281,37.63220977783203,Замоскворечье
0CF4D52B9370,55.73072814941406,37.61176681518555,Якиманка
0CF4D52C4DE0,55.70783615112305,37.589229583740234,Донской
0CF4D52D5750,55.73522186279297,37.56566619873047,Хамовники
1CB9C429AC20,55.73765182495117,37.584476470947266,Хамовники
EC8CA22EBB90,55.7191276550293,37.58248519897461,Хамовники
1CB9C426BC50,55.73335647583008,37.609649658203125,Якиманка
3420E3179130,55.72565460205078,37.63197708129883,Замоскворечье
0CF4D52C58B0,55.73124313354492,37.6621208190918,Таганский
1CB9C426E340,55.739017486572266,37.62466049194336,Замоскворечье
3420E3178A20,55.72756576538086,37.630699157714844,Замоскворечье
0CF4D52C57B0,55.72679901123047,37.609039306640625,Якиманка
1CB9C424E190,55.746116638183594,37.62641906738281,Замоскворечье
1CB9C4250E10,55.73418426513672,37.63624954223633,Замоскворечье
8CFE742160E0,55.71806335449219,37.660987854003906,Даниловский
EC8CA20FFCC0,55.74779510498047,37.555702209472656,Дорогомилово
EC8CA2131BF0,55.735111236572266,37.597625732421875,Хамовники
EC8CA22EE7A0,55.750118255615234,37.56300735473633,Дорогомилово
EC8CA22EB2B0,55.72227096557617,37.62265396118164,Замоскворечье
0CF4D52C3890,55.73420715332031,37.593204498291016,Хамовники
0CF4D52BB840,55.723209381103516,37.57592010498047,Хамовники
EC8CA215F6F0,55.724552154541016,37.56391525268555,Хамовники
0CF4D52BD000,55.74169921875,37.6544189453125,Таганский
1CB9C429D740,55.73607635498047,37.61429977416992,Якиманка
EC8CA215E970,55.736454010009766,37.59457015991211,Хамовники
0CF4D52D1C20,55.710453033447266,37.62226867675781,Даниловский
EC8CA22EAB50,55.734066009521484,37.564266204833984,Хамовники
EC8CA22EA5A0,55.74118423461914,37.624839782714844,Якиманка
0CF4D52BDB40,55.746158599853516,37.557193756103516,Дорогомилово
1CB9C426C660,55.733604431152344,37.624515533447266,Замоскворечье
1CB9C429B6D0,55.75107192993164,37.57168960571289,Дорогомилово
EC8CA20F3FA0,55.740177154541016,37.65095138549805,Таганский
3087D92648F0,55.714420318603516,37.5948600769043,Донской
0CF4D52BC730,55.74884033203125,37.611331939697266,Тверской
EC8CA213A4D0,55.73767852783203,37.584537506103516,Хамовники
0CF4D52C3070,55.732234954833984,37.62028121948242,Якиманка
1CB9C429ADB0,55.74094009399414,37.63595199584961,Замоскворечье
1CB9C4309410,55.731956481933594,37.66489791870117,Таганский
3420E3178470,55.70842742919922,37.65983200073242,Даниловский
3420E3179380,55.7376594543457,37.54310607910156,Дорогомилово
EC8CA20D21A0,55.75302505493164,37.600711822509766,Арбат
1CB9C426BC60,55.74817657470703,37.63219451904297,Замоскворечье
0CF4D52B94B0,55.71441650390625,37.590999603271484,Донской
0CF4D52BC1A0,55.740501403808594,37.584415435791016,Хамовники
0CF4D52D2E30,55.74723815917969,37.599327087402344,Арбат
3087D91F8530,55.74736022949219,37.65980911254883,Таганский
EC8CA20F0A40,55.72357177734375,37.69279861450195,Нижегородский
1CB9C429B800,55.74109649658203,37.58795166015625,Хамовники
0CF4D52B8EE0,55.74523162841797,37.58265686035156,Хамовники
EC8CA215F900,55.72227096557617,37.62265396118164,Замоскворечье
EC8CA22EE780,55.720611572265625,37.60558319091797,Якиманка
1CB9C426EEF0,55.737281799316406,37.58831024169922,Хамовники
EC8CA22EFD80,55.74799346923828,37.6812858581543,Таганский
0CF4D52D3D60,55.65735626220703,37.75857925415039,Марьино
EC8CA20F0560,55.75302505493164,37.600711822509766,Арбат
F03E90192D90,55.73769760131836,37.63146209716797,Замоскворечье
0CF4D52BBFD0,55.7453498840332,37.60063552856445,Хамовники
EC8CA22EE0D0,55.74755096435547,37.595062255859375,Хамовники
1CB9C43017C0,55.7191276550293,37.58248519897461,Хамовники
1CB9C4309150,55.73737716674805,37.64878463745117,Таганский
EC8CA2138DC0,55.710205078125,37.59928512573242,Донской
EC8CA2139180,55.75301742553711,37.596107482910156,Арбат
EC8CA22EB280,55.71109390258789,37.658111572265625,Даниловский
0CF4D52BCC20,55.70713806152344,37.57781219482422,Гагаринский
3087D91F1950,55.74301528930664,37.53486251831055,Дорогомилово
